transaction_id,customer_id,amount,currency,timestamp,counterparty_id,transaction_type,channel
TXN_00000000,CUST_00102,49.38,USD,2024-02-08 02:46:00,CP_0122,card,mobile
TXN_00000001,CUST_00330,416.08,USD,2024-05-01 16:03:00,CP_0104,card,branch
TXN_00000002,CUST_00308,46.44,EUR,2024-08-29 06:49:00,CP_0022,atm,atm
TXN_00000003,CUST_00344,51.92,USD,2024-09-24 03:21:00,CP_0188,card,atm
TXN_00000004,CUST_00054,141.33,USD,2024-12-05 22:12:00,CP_0073,ach,atm
TXN_00000005,CUST_00088,302.2,USD,2024-10-16 15:53:00,CP_0053,ach,atm
TXN_00000006,CUST_00091,19.24,USD,2024-03-14 23:30:00,CP_0081,check,branch
TXN_00000007,CUST_00359,107.39,USD,2024-05-24 15:01:00,CP_0054,ach,atm
TXN_00000008,CUST_00309,1.9,USD,2024-12-04 19:19:00,CP_0190,atm,atm
TXN_00000009,CUST_00236,18.4,USD,2024-08-30 07:51:00,CP_0154,wire,atm
TXN_00000010,CUST_00187,15.47,USD,2024-02-04 00:24:00,CP_0071,wire,atm
TXN_00000011,CUST_00128,194.19,EUR,2024-04-04 16:10:00,CP_0081,card,mobile
TXN_00000012,CUST_00288,599.97,EUR,2024-07-16 18:46:00,CP_0072,check,branch
TXN_00000013,CUST_00032,210.02,USD,2024-12-05 23:30:00,CP_0172,card,mobile
TXN_00000014,CUST_00448,285.34,USD,2024-03-23 18:16:00,CP_0015,ach,branch
TXN_00000015,CUST_00379,126.19,USD,2024-02-04 17:35:00,CP_0052,atm,atm
TXN_00000016,CUST_00387,95.65,USD,2024-04-24 12:19:00,CP_0013,card,mobile
TXN_00000017,CUST_00085,303.15,USD,2024-02-14 11:24:00,CP_0062,wire,online
TXN_00000018,CUST_00133,7.65,USD,2024-04-16 04:26:00,CP_0128,ach,mobile
TXN_00000019,CUST_00347,93.91,USD,2024-11-11 16:29:00,CP_0121,check,online
TXN_00000020,CUST_00232,26.03,USD,2024-06-07 17:36:00,CP_0051,ach,atm
TXN_00000021,CUST_00151,53.88,USD,2024-02-12 10:07:00,CP_0096,wire,atm
TXN_00000022,CUST_00112,143.89,USD,2024-12-01 04:50:00,CP_0113,atm,online
TXN_00000023,CUST_00439,9113.3,USD,2024-09-30 15:50:00,CP_0129,card,branch
TXN_00000024,CUST_00129,1.0,USD,2024-02-18 22:27:00,CP_0183,card,atm
TXN_00000025,CUST_00122,2865.96,USD,2024-11-16 04:39:00,CP_0069,check,branch
TXN_00000026,CUST_00197,1696.12,USD,2024-02-05 21:03:00,CP_0093,card,atm
TXN_00000027,CUST_00251,68.11,USD,2024-04-08 22:43:00,CP_0096,check,online
TXN_00000028,CUST_00416,349.33,USD,2024-01-06 15:55:00,CP_0185,wire,branch
TXN_00000029,CUST_00150,1.06,USD,2024-04-12 13:58:00,CP_0144,ach,atm
TXN_00000030,CUST_00499,5.96,EUR,2024-03-22 19:16:00,CP_0160,card,mobile
TXN_00000031,CUST_00008,214.71,USD,2024-09-26 14:15:00,CP_0161,check,mobile
TXN_00000032,CUST_00112,6527.01,USD,2024-02-23 19:45:00,CP_0054,card,atm
TXN_00000033,CUST_00444,35.56,USD,2024-01-27 17:07:00,CP_0033,atm,atm
TXN_00000034,CUST_00403,2178.38,EUR,2024-06-27 06:07:00,CP_0187,card,branch
TXN_00000035,CUST_00374,34.15,USD,2024-11-24 13:25:00,CP_0109,card,branch
TXN_00000036,CUST_00263,1666.97,EUR,2024-09-13 15:59:00,CP_0197,check,online
TXN_00000037,CUST_00303,435.25,USD,2024-11-20 06:40:00,CP_0172,check,branch
TXN_00000038,CUST_00476,499.67,USD,2024-10-13 01:27:00,CP_0093,wire,branch
TXN_00000039,CUST_00180,73.86,EUR,2024-02-15 15:26:00,CP_0160,wire,atm
TXN_00000040,CUST_00322,227.74,USD,2024-09-11 02:10:00,CP_0104,ach,atm
TXN_00000041,CUST_00430,12.29,USD,2024-02-09 13:18:00,CP_0155,ach,branch
TXN_00000042,CUST_00473,849.71,EUR,2024-09-12 07:34:00,CP_0170,ach,mobile
TXN_00000043,CUST_00305,1251.87,USD,2024-06-01 18:03:00,CP_0135,wire,atm
TXN_00000044,CUST_00172,48.82,USD,2024-10-09 08:59:00,CP_0098,ach,atm
TXN_00000045,CUST_00214,114.95,USD,2024-03-06 04:08:00,CP_0186,atm,branch
TXN_00000046,CUST_00313,2424.32,USD,2024-11-16 07:23:00,CP_0101,wire,atm
TXN_00000047,CUST_00052,488.47,EUR,2024-09-18 16:36:00,CP_0103,check,branch
TXN_00000048,CUST_00364,70.17,EUR,2024-02-21 01:23:00,CP_0144,atm,branch
TXN_00000049,CUST_00123,11.22,USD,2024-03-01 04:32:00,CP_0120,card,atm
TXN_00000050,CUST_00057,31.7,USD,2024-05-03 02:07:00,CP_0126,wire,atm
TXN_00000051,CUST_00236,4115.86,EUR,2024-10-09 10:36:00,CP_0192,atm,branch
TXN_00000052,CUST_00348,7.11,USD,2024-05-21 13:41:00,CP_0185,atm,branch
TXN_00000053,CUST_00219,770.02,USD,2024-02-24 17:01:00,CP_0197,check,atm
TXN_00000054,CUST_00217,600.75,USD,2024-02-11 01:01:00,CP_0101,ach,branch
TXN_00000055,CUST_00245,492.65,USD,2024-10-27 22:54:00,CP_0138,ach,mobile
TXN_00000056,CUST_00441,87035.09,EUR,2024-02-06 02:31:00,CP_0080,ach,online
TXN_00000057,CUST_00475,175.62,USD,2024-04-13 13:43:00,CP_0140,ach,mobile
TXN_00000058,CUST_00379,233.68,EUR,2024-12-12 21:22:00,CP_0065,wire,atm
TXN_00000059,CUST_00329,86.32,USD,2024-03-16 15:40:00,CP_0012,ach,online
TXN_00000060,CUST_00498,6.77,USD,2024-08-22 08:57:00,CP_0162,card,online
TXN_00000061,CUST_00390,1385.46,USD,2024-04-19 03:24:00,CP_0075,atm,atm
TXN_00000062,CUST_00419,364.05,USD,2024-03-20 09:52:00,CP_0099,check,branch
TXN_00000063,CUST_00496,126.79,EUR,2024-10-05 04:13:00,CP_0037,check,online
TXN_00000064,CUST_00182,773.43,USD,2024-05-03 15:11:00,CP_0086,atm,mobile
TXN_00000065,CUST_00018,755.23,EUR,2024-05-15 10:04:00,CP_0147,check,online
TXN_00000066,CUST_00454,182.57,USD,2024-01-04 19:26:00,CP_0144,atm,online
TXN_00000067,CUST_00098,253.48,EUR,2024-08-30 19:32:00,CP_0053,wire,mobile
TXN_00000068,CUST_00108,284.02,USD,2024-05-04 10:48:00,CP_0074,ach,atm
TXN_00000069,CUST_00400,4232.66,USD,2024-07-16 02:21:00,CP_0141,ach,online
TXN_00000070,CUST_00433,6.28,USD,2024-04-19 09:04:00,CP_0086,check,online
TXN_00000071,CUST_00326,173.82,EUR,2024-12-25 16:03:00,CP_0070,check,mobile
TXN_00000072,CUST_00274,276.39,USD,2024-12-04 12:22:00,CP_0126,card,online
TXN_00000073,CUST_00140,2837.6,USD,2024-01-22 01:55:00,CP_0061,wire,mobile
TXN_00000074,CUST_00000,16.31,EUR,2024-07-20 12:00:00,CP_0153,wire,branch
TXN_00000075,CUST_00116,680.71,EUR,2024-12-16 08:12:00,CP_0160,atm,online
TXN_00000076,CUST_00302,170.6,USD,2024-06-29 09:07:00,CP_0147,check,online
TXN_00000077,CUST_00401,1061.04,USD,2024-06-29 00:14:00,CP_0159,wire,online
TXN_00000078,CUST_00053,29975.84,EUR,2024-01-08 15:43:00,CP_0102,check,atm
TXN_00000079,CUST_00155,214.15,USD,2024-12-23 10:43:00,CP_0090,ach,atm
TXN_00000080,CUST_00177,30.07,USD,2024-09-23 14:54:00,CP_0145,wire,online
TXN_00000081,CUST_00211,10.22,EUR,2024-02-27 12:44:00,CP_0141,card,online
TXN_00000082,CUST_00389,10.59,USD,2024-08-09 07:54:00,CP_0109,atm,mobile
TXN_00000083,CUST_00288,5784.39,USD,2024-03-19 08:16:00,CP_0011,atm,branch
TXN_00000084,CUST_00062,1490.79,USD,2024-03-14 07:30:00,CP_0129,atm,atm
TXN_00000085,CUST_00310,70.1,USD,2024-06-12 10:45:00,CP_0003,atm,mobile
TXN_00000086,CUST_00484,942.28,USD,2024-11-08 05:33:00,CP_0110,wire,mobile
TXN_00000087,CUST_00172,754.24,USD,2024-05-19 16:32:00,CP_0113,ach,atm
TXN_00000088,CUST_00094,288.48,USD,2024-08-04 17:06:00,CP_0123,ach,atm
TXN_00000089,CUST_00448,33.22,USD,2024-03-28 10:37:00,CP_0057,wire,atm
TXN_00000090,CUST_00254,2916.36,USD,2024-08-15 07:59:00,CP_0038,ach,branch
TXN_00000091,CUST_00337,858.9,USD,2024-11-12 01:02:00,CP_0052,wire,branch
TXN_00000092,CUST_00480,56.07,USD,2024-06-21 04:20:00,CP_0029,check,branch
TXN_00000093,CUST_00183,2140.71,USD,2024-08-08 07:47:00,CP_0069,ach,branch
TXN_00000094,CUST_00052,14.94,USD,2024-12-12 10:30:00,CP_0080,card,branch
TXN_00000095,CUST_00399,44.5,EUR,2024-04-29 15:52:00,CP_0195,card,mobile
TXN_00000096,CUST_00092,172.79,USD,2024-11-29 20:01:00,CP_0092,ach,online
TXN_00000097,CUST_00021,300.64,USD,2024-09-11 17:44:00,CP_0012,ach,branch
TXN_00000098,CUST_00033,70.15,USD,2024-10-07 08:24:00,CP_0047,wire,branch
TXN_00000099,CUST_00238,28.87,USD,2024-09-21 13:35:00,CP_0061,wire,branch
TXN_00000100,CUST_00291,506.91,USD,2024-11-26 09:34:00,CP_0056,ach,atm
TXN_00000101,CUST_00470,675.2,USD,2024-09-12 00:57:00,CP_0014,card,atm
TXN_00000102,CUST_00370,470.18,USD,2024-03-22 23:13:00,CP_0038,card,mobile
TXN_00000103,CUST_00014,276.58,USD,2024-09-16 04:20:00,CP_0028,ach,mobile
TXN_00000104,CUST_00440,6.55,USD,2024-11-20 07:30:00,CP_0109,ach,mobile
TXN_00000105,CUST_00227,224.39,USD,2024-08-21 01:43:00,CP_0168,wire,atm
TXN_00000106,CUST_00082,7.06,EUR,2024-03-19 04:21:00,CP_0121,wire,online
TXN_00000107,CUST_00149,15.31,USD,2024-11-18 11:34:00,CP_0112,check,branch
TXN_00000108,CUST_00330,210.17,USD,2024-09-26 09:52:00,CP_0094,card,branch
TXN_00000109,CUST_00440,912.09,USD,2024-08-25 01:43:00,CP_0026,card,online
TXN_00000110,CUST_00299,24.06,EUR,2024-09-27 14:38:00,CP_0001,ach,branch
TXN_00000111,CUST_00319,532.32,USD,2024-07-15 08:42:00,CP_0100,atm,mobile
TXN_00000112,CUST_00258,110.27,USD,2024-10-06 22:01:00,CP_0172,ach,online
TXN_00000113,CUST_00167,65.7,USD,2024-11-12 20:52:00,CP_0073,wire,online
TXN_00000114,CUST_00458,17672.35,USD,2024-09-12 20:32:00,CP_0069,check,atm
TXN_00000115,CUST_00433,44.31,EUR,2024-11-18 05:28:00,CP_0162,check,mobile
TXN_00000116,CUST_00034,17209.99,USD,2024-10-29 02:48:00,CP_0014,check,branch
TXN_00000117,CUST_00290,300.76,USD,2024-10-13 10:58:00,CP_0123,ach,branch
TXN_00000118,CUST_00131,765.47,EUR,2024-01-28 13:51:00,CP_0179,atm,branch
TXN_00000119,CUST_00352,4.88,USD,2024-10-06 10:40:00,CP_0153,wire,online
TXN_00000120,CUST_00494,779.62,USD,2024-06-04 10:10:00,CP_0135,card,atm
TXN_00000121,CUST_00041,1.78,USD,2024-07-04 19:12:00,CP_0155,check,online
TXN_00000122,CUST_00037,777.67,USD,2024-09-11 01:01:00,CP_0196,ach,branch
TXN_00000123,CUST_00004,1118.55,USD,2024-11-07 09:16:00,CP_0159,check,online
TXN_00000124,CUST_00215,165.72,USD,2024-01-10 23:42:00,CP_0068,check,online
TXN_00000125,CUST_00129,1422703.01,EUR,2024-12-07 21:13:00,CP_0043,card,online
TXN_00000126,CUST_00147,4.23,USD,2024-04-02 17:15:00,CP_0141,ach,online
TXN_00000127,CUST_00480,261709.71,EUR,2024-05-27 04:31:00,CP_0068,atm,atm
TXN_00000128,CUST_00292,30.54,USD,2024-08-08 08:40:00,CP_0051,atm,branch
TXN_00000129,CUST_00295,381.05,USD,2024-01-25 00:00:00,CP_0046,atm,online
TXN_00000130,CUST_00345,23798.6,USD,2024-11-21 04:36:00,CP_0137,ach,atm
TXN_00000131,CUST_00312,16935.34,USD,2024-05-05 12:40:00,CP_0090,card,branch
TXN_00000132,CUST_00385,6.61,EUR,2024-05-19 23:39:00,CP_0179,wire,mobile
TXN_00000133,CUST_00179,0.57,EUR,2024-09-23 01:52:00,CP_0029,card,branch
TXN_00000134,CUST_00153,86.68,USD,2024-04-15 11:18:00,CP_0001,atm,branch
TXN_00000135,CUST_00214,16.23,EUR,2024-11-09 09:22:00,CP_0062,atm,online
TXN_00000136,CUST_00428,1302.72,USD,2024-06-27 11:29:00,CP_0194,check,online
TXN_00000137,CUST_00113,67.41,USD,2024-05-09 08:00:00,CP_0008,atm,mobile
TXN_00000138,CUST_00358,28.29,USD,2024-05-07 13:15:00,CP_0087,check,atm
TXN_00000139,CUST_00177,937.55,EUR,2024-05-24 04:06:00,CP_0067,card,mobile
TXN_00000140,CUST_00327,180.82,USD,2024-08-29 11:39:00,CP_0008,ach,mobile
TXN_00000141,CUST_00095,114.36,EUR,2024-01-09 10:55:00,CP_0196,check,online
TXN_00000142,CUST_00181,39.87,USD,2024-06-25 21:26:00,CP_0161,atm,mobile
TXN_00000143,CUST_00111,22.77,EUR,2024-11-04 02:36:00,CP_0188,ach,branch
TXN_00000144,CUST_00384,52.17,USD,2024-03-06 21:54:00,CP_0119,check,atm
TXN_00000145,CUST_00260,1209.57,EUR,2024-05-14 21:49:00,CP_0137,ach,online
TXN_00000146,CUST_00427,72.96,USD,2024-03-03 13:33:00,CP_0128,wire,branch
TXN_00000147,CUST_00114,248.38,USD,2024-12-10 03:13:00,CP_0025,wire,branch
